  1000  1.0000E+00
   i   x             den           ener          pres          vel           cs
   261  3.126000E-01  3.879730E-03  1.884593E+01  4.874475E-02  7.502848E-02  4.576016E+00
   262  3.138000E-01  3.947221E-03  1.852380E+01  4.874502E-02  7.531661E-02  4.536739E+00
   263  3.150000E-01  4.015622E-03  1.820837E+01  4.874529E-02  7.560475E-02  4.497946E+00
   264  3.162000E-01  4.084943E-03  1.789948E+01  4.874557E-02  7.589289E-02  4.459631E+00
   265  3.174000E-01  4.155191E-03  1.759698E+01  4.874586E-02  7.618103E-02  4.421786E+00
   266  3.186000E-01  4.226376E-03  1.730069E+01  4.874615E-02  7.646917E-02  4.384403E+00
   267  3.198000E-01  4.298506E-03  1.701049E+01  4.874645E-02  7.675732E-02  4.347475E+00
   268  3.210000E-01  4.371591E-03  1.672621E+01  4.874675E-02  7.704547E-02  4.310994E+00
   269  3.222000E-01  4.445639E-03  1.644771E+01  4.874706E-02  7.733362E-02  4.274954E+00
   270  3.234000E-01  4.520660E-03  1.617487E+01  4.874738E-02  7.762178E-02  4.239348E+00
